序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
607,895,双汇发展,27.59,2.22,0.6,192305.0,531286113.27,4.52,28.03,26.81,26.9,26.99,1.67,0.56,18.92,5.19,95590002867.0,95575174097.0,0.04,0.0,1.28,3.29
608,301589,诺瓦星云,447.77,2.22,9.73,11041.0,508634638.48,7.45,479.62,447.0,461.76,438.04,2.16,14.34,37.88,6.29,22997467200.0,3448764839.0,0.08,-0.03,252.88,252.88
609,688219,会通股份,8.29,2.22,0.18,36237.0,29838242.0,4.81,8.39,8.0,8.02,8.11,1.27,0.79,24.82,1.98,3807470188.0,3807470188.0,0.0,-0.24,-19.51,-24.43
610,2991,甘源食品,87.8,2.21,1.9,11119.0,97002584.93,4.47,88.57,84.73,84.73,85.9,1.25,2.24,28.67,5.0,8184349962.0,4362389622.0,-0.24,-0.23,15.03,22.87
611,688109,品茗科技,27.76,2.21,0.6,9239.0,25997817.0,6.63,28.82,27.02,27.02,27.16,0.65,1.17,181.53,2.81,2188662248.0,2188662248.0,0.11,-0.14,3.39,-1.46
612,300703,创源股份,8.35,2.2,0.18,50227.0,41557929.0,6.36,8.51,7.99,8.14,8.17,1.05,3.02,19.67,1.85,1506271864.0,1388281972.0,0.24,0.12,-25.11,-25.71
613,688696,极米科技,82.26,2.2,1.77,6796.0,56362151.0,5.5,84.49,80.06,80.34,80.49,1.37,0.97,46.41,1.85,5758200000.0,5758200000.0,0.02,0.32,-18.31,-27.19
614,2557,洽洽食品,34.42,2.2,0.74,50049.0,171464446.41,4.84,34.88,33.25,33.53,33.68,1.29,0.99,21.67,3.16,17451020784.0,17450891709.0,0.03,0.17,0.56,-1.15
615,603701,德宏股份,9.77,2.2,0.21,41966.0,40601253.0,6.8,9.93,9.28,9.66,9.56,1.03,1.61,134.19,3.37,2553505773.0,2553505773.0,0.0,-0.2,-35.93,-37.73
616,45,深纺织Ａ,8.85,2.19,0.19,114557.0,101443487.98,4.5,9.03,8.64,8.81,8.66,1.81,2.51,56.55,1.56,4482718364.0,4044643364.0,0.11,0.34,-19.1,-25.0
617,301195,北路智控,36.86,2.19,0.79,11130.0,41209260.8,6.88,37.98,35.5,36.18,36.07,0.94,2.41,21.55,2.12,4847891336.0,1701005696.0,0.08,-0.11,-1.84,-9.17
618,603390,通达电气,7.0,2.19,0.15,65081.0,45155420.0,6.42,7.14,6.7,6.9,6.85,0.95,1.86,708.64,1.57,2461808888.0,2448286855.0,0.14,0.0,-30.0,-30.35
619,2188,中天服务,4.2,2.19,0.09,95573.0,39671866.0,8.03,4.28,3.95,4.19,4.11,1.19,3.97,60.77,9.31,1228662015.0,1011814843.0,0.0,-0.24,-35.88,-36.17
620,301029,怡合达,23.84,2.19,0.51,87355.0,208116239.47,6.9,24.41,22.8,23.05,23.33,1.24,2.93,22.88,4.61,13772561772.0,7103111097.0,-0.17,-0.38,4.33,-7.53
621,835184,国源科技,5.61,2.19,0.12,24137.0,13895284.33,11.66,6.0,5.36,5.45,5.49,2.41,2.71,77.37,1.27,750561900.0,499859342.0,-0.53,-0.53,-19.97,-37.53
